Code,Park Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Average
ABLI,Abraham Lincoln Birthplace NHP,"163,568","169,515","163,928","241,264","148,605","252,495","269,580","260,964","238,226","228,141","213,629"
ACAD,Acadia NP,"2,374,645","2,431,052","2,254,922","2,563,129","2,811,184","3,303,393","3,509,271","3,537,575","3,437,286","2,669,034","2,889,149"
ADAM,Adams NHP,"219,975","336,031","285,501","178,468","183,632","199,301","255,562","121,007","187,400","6,937","197,381"
AFBG,African Burial Ground NM,"108,585","77,624","93,234","54,861","56,348","46,526","43,182","45,035","47,427","7,908","58,073"
AGFO,Agate Fossil Beds NM,"11,617","11,824","10,504","12,440","13,264","15,555","32,038","16,238","16,657","8,722","14,886"
ALFL,Alibates Flint Quarries NM,"3,214","3,383","1,555","4,513","9,492","8,153","6,613","7,415","8,847","4,269","5,745"
ALPO,Allegheny Portage Railroad NHS,"118,410","138,864","107,977","172,883","168,433","189,371","201,837","189,047","189,189","136,029","161,204"
AMIS,Amistad NRA,"1,436,759","1,367,502","1,025,151","1,130,096","1,250,051","1,164,530","1,221,635","1,111,770","1,267,900","1,424,139","1,239,953"
ANDE,Andersonville NHS,"108,812","122,883","98,771","127,189","136,686","134,216","132,149","138,164","103,635","63,799","116,630"
ANJO,Andrew Johnson NHS,"52,322","51,261","42,929","42,863","45,357","45,937","53,998","50,671","51,189","46,092","48,262"
ANIA,Aniakchak NM & PRES,57,19,134,134,153,100,100,100,100,36,93
ANTI,Antietam NB,"384,987","510,921","370,832","337,079","347,180","351,911","366,508","326,197","287,343","85,884","336,884"
APIS,Apostle Islands NL,"176,040","163,419","148,556","290,059","232,662","183,796","203,421","252,920","240,613","219,009","211,050"
APCO,Appomattox Court House NHP,"258,917","320,668","317,660","278,776","412,640","303,139","113,960","103,044","102,397","57,513","226,871"
ARCH,Arches NP,"1,040,758","1,070,577","1,082,866","1,284,767","1,399,247","1,585,718","1,539,028","1,663,557","1,659,702","1,238,083","1,356,430"
ARPO,Arkansas Post NMEM,"37,127","39,703","36,420","30,860","38,702","34,405","36,079","30,126","28,519","29,653","34,159"
ARHO,Arlington House The R.E. Lee MEM,"576,816","562,772","586,531","671,638","532,050","1,057,500","726,059","49,500",0,0,"476,287"
ASIS,Assateague Island NS,"2,105,419","2,154,859","2,056,828","2,170,681","2,275,606","2,267,821","2,347,167","2,136,889","2,344,536","2,481,660","2,234,147"
AZRU,Aztec Ruins NM,"41,106","44,744","41,312","44,721","53,165","57,692","52,756","54,933","63,777","30,223","48,443"
BADL,Badlands NP,"870,741","883,406","892,372","868,094","989,354","996,263","1,054,325","1,008,942","970,998","916,932","945,143"
BAND,Bandelier NM,"193,914","150,289","126,682","130,106","174,073","198,478","209,141","198,441","200,741","94,948","167,681"
BEPA,Belmont-Paul Women's Equality NM,,,,,,"2,704","10,893","9,081","9,913","2,535","7,025"
