X,Y,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID
16221921.0683056,1713993.12285733,1,AMME,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,American Memorial Park,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,1e6ff4df-da40-448f-8eb7-c558c62b7547
-13657536.3393449,6142536.94712181,2,EBLA,Ebey's Landing National Historical Reserve,2015/04/22 00:00:00+00,WA,PW,1888910,National Historical Reserve,Lands,Ebey's Landing,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,3d9b000d-5d60-42d6-956e-e4bbc04112af
-13215312.0515103,6092168.41353922,3,LARO,Lake Roosevelt National Recreation Area,2015/04/22 00:00:00+00,WA,PW,1531834,National Recreation Area,Lands,Lake Roosevelt,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,a320704c-2371-4749-a569-0ebc6824f49e
-13761145.5134594,6072851.34987683,4,OLYM,Olympic National Park,2015/04/22 00:00:00+00,WA,PW,1530459,National Park,Lands,Olympic,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,f7b33667-0391-4703-95a7-e0f03a240bf8
-7596899.76890717,5519884.60903823,6,ACAD,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Lands,Acadia,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,258ec5bf-b326-48aa-aaa4-5eaeb83e58a9
-17310934.8031209,2170428.8212866,7,ALKA,Ala Kahakai National Historic Trail,2013/12/18 00:00:00+00,HI,PW,2035608,National Historic Trail,Lands,Ala Kahakai,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,0527f0b0-0e4c-4e4a-84ff-8cb15731cb69
-8376750.06103097,4584943.12026798,8,ASIS,Assateague Island National Seashore,2013/12/18 00:00:00+00,MD,NE,589056,National Seashore,Lands,Assateague Island,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,0498eab8-4fb3-4edd-af70-fc9fb04dff56
-9424872.62681935,4374467.11076299,9,BISO,Big South Fork National River and Recreation Area,2013/12/18 00:00:00+00,TN,SE,1309762,National River and Recreation Area,Lands,Big South Fork,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,158e6336-4dc0-4411-8963-01028702dad2
-9012517.66683288,4521663.40890657,11,BLUE,Bluestone National Scenic River,2013/12/18 00:00:00+00,WV,NE,1877617,National Scenic River,Lands,Bluestone,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,dcaf2099-e2dd-4e5a-907c-6f5dd7b62569
-8408094.18603953,4196874.16223883,12,CAHA,Cape Hatteras National Seashore,2013/12/18 00:00:00+00,NC,SE,982628,National Seashore,Lands,Cape Hatteras,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,3e1d5763-6302-472a-8bef-dcdff098f3ca
-8481436.57655092,4158209.15826761,13,CALO,Cape Lookout National Seashore,2013/12/18 00:00:00+00,NC,SE,1000889,National Seashore,Lands,Cape Lookout,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,f6d2a813-a352-4989-b957-e1e1aec17393
-9490433.73693963,4152876.18407936,15,CHCH,Chickamauga and Chattanooga National Military Park,2013/12/18 00:00:00+00,GA,SE,330990,National Military Park,Lands, Chickamauga and Chattanooga,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,bc9eb246-d959-4763-80b5-48c1b385f688
-8125694.25001174,4966993.63475986,16,FIIS,Fire Island National Seashore,2013/12/18 00:00:00+00,NY,NE,970121,National Seashore,Lands,Fire Island,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,5f3a1ddc-5409-4ff1-aa90-aff294607fe9
-8427930.66853483,4291870.27506022,17,FORA,Fort Raleigh National Historic Site,2013/12/18 00:00:00+00,NC,SE,985324,National Historic Site,Lands,Fort Raleigh,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,64142c59-365c-4312-8c18-99fe97865222
-9017347.61315842,4608589.9517825,18,GARI,Gauley River National Recreation Area,2013/12/18 00:00:00+00,WV,NE,1741168,National Recreation Area,Lands,Gauley River,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,2020/01/09 22:13:23.903+00,SCarlton@nps.gov_nps,5902c463-a592-4398-811f-f7246989e904
