OBJECTID,UNIT_CODE,GIS_Notes,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,METADATA,PARKNAME,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length,Shape__Acreage,GlobalID
40,ABLI,Lands - http://landsnet.nps.gov/tractsnet/documents/ABLI/Metadata/abli_metadata.xml,Abraham Lincoln Birthplace National Historical Park,2007/10/03 00:00:00+00,KY,SE,496556,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047895,Abraham Lincoln Birthplace,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:11:17.649+00,RJohnson@nps.gov_nps,2186841.211,12580.53908,338.7514314,7aae8653-804b-4515-98aa-1957cee07dc9
397,ACAD,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,Acadia National Park,2013/12/18 00:00:00+00,ME,NE,578853,National Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,Acadia,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,274779310.3,541137.3149,34766.27907,d211300a-d239-4a8a-926f-98fc4ed8425d
66,ADAM,Lands - http://landsnet.nps.gov/tractsnet/documents/ADAM/Metadata/adam_metadata.xml,Adams National Historical Park,2009/06/05 00:00:00+00,MA,NE,1888899,National Historical Park,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048140,Adams,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:14:38.249+00,RJohnson@nps.gov_nps,100799.8164,2163.814646,13.63651004,c710a3f8-c12a-4d81-8449-4adae2e4d513
53,AFBG,Lands - http://landsnet.nps.gov/tractsnet/documents/AFBG/Metadata/afbg_metadata.xml,African Burial Ground National Monument,2008/08/19 00:00:00+00,NY,NE,2060434,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1048074,African Burial Ground,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:13:00.759+00,RJohnson@nps.gov_nps,2425.183594,202.4979009,0.343944871,b5684779-7189-4ce6-8d11-9fd551b4ed23
150,AGFO,Lands - http://landsnet.nps.gov/tractsnet/documents/AGFO/Metadata/agfo_metadata.xml,Agate Fossil Beds National Monument,2012/11/27 00:00:00+00,NE,MW,826917,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2192756,Agate Fossil Beds,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:24:38.035+00,RJohnson@nps.gov_nps,22628044.35,35522.30965,3045.134062,096cb4f6-1fea-428c-8bc8-0384f6e80e66
335,ALAG,Lands - http://landsnet.nps.gov/tractsnet/documents/ALAG/Metadata/ALAG_metadata.xml,Alagnak Wild River,2019/03/21 00:00:00+00,AK,AK,2733449,Wild River,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225686,Alagnak,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:45:58.797+00,RJohnson@nps.gov_nps,471454875.1,355058.637,30907.51386,51145d07-b649-41b4-8a6c-b73acb33049a
381,ALFL,Lands - http://landsnet.nps.gov/tractsnet/documents/ALFL/Metadata/alfl_metadata.xml,Alibates Flint Quarries National Monument,2019/11/25 00:00:00+00,TX,IM,1377214,National Monument,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047899,Alibates Flint Quarries,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:50:59.603+00,RJohnson@nps.gov_nps,8414268.297,13826.25229,1372.259424,1a694524-bec4-4f11-8562-af6d2fa7c052
173,ALPO,Lands - http://landsnet.nps.gov/tractsnet/documents/ALPO/Metadata/alpo_metadata.xml,Allegheny Portage Railroad National Historic Site,2014/08/04 00:00:00+00,PA,NE,1214216,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215968,Allegheny Portage Railroad,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:08.395+00,RJohnson@nps.gov_nps,9165311.402,57275.16329,1310.872059,9d6e702c-897a-41e7-92b0-5cde95437bb5
1,AMME,PRELIMINARY - Data has not completed the entire Lands QA/QC process.,American Memorial Park,2015/04/22 00:00:00+00,MP,PW,1879026,Park,Lands,Preliminary data. Contact the Land Resources Program for additional information.,American Memorial Park,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,611358.4746,7740.973865,139.8468513,79037b52-9d9c-4f8c-b65b-70b810814fb0
364,AMIS,Lands - http://landsnet.nps.gov/tractsnet/documents/AMIS/Metadata/amis_metadata.xml,Amistad National Recreation Area,2019/07/22 00:00:00+00,TX,IM,1329499,National Recreation Area,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2266792,Amistad,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:49:24.636+00,RJohnson@nps.gov_nps,330976091.9,1253934.35,61681.66391,921728fb-daba-4850-b243-39525048e408
175,ANDE,Lands - http://landsnet.nps.gov/tractsnet/documents/ANDE/Metadata/ande_metadata.xml,Andersonville National Historic Site,2014/08/19 00:00:00+00,GA,SE,310534,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2215967,Andersonville,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:27:21.742+00,RJohnson@nps.gov_nps,2953276.824,8539.029807,521.0467526,161ac370-5656-4183-a5af-c5e786fb1c2c
34,ANJO,Lands - http://landsnet.nps.gov/tractsnet/documents/ANJO/Metadata/anjo_metadata.xml,Andrew Johnson National Historic Site,2007/01/24 00:00:00+00,TN,SE,1304837,National Historic Site,Lands,https://irma.nps.gov/DataStore/Reference/Profile/1047901,Andrew Johnson,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:10:31.617+00,RJohnson@nps.gov_nps,102557.4219,2126.418216,16.48720354,4968ef8b-0da8-4768-a3fa-3f88de066c02
344,ANIA,Lands - http://landsnet.nps.gov/tractsnet/documents/ANIA/Metadata/ANIA_metadata.xml,Aniakchak National Preserve,2019/03/21 00:00:00+00,AK,AK,1416034,National Preserve,Lands,https://irma.nps.gov/DataStore/Reference/Profile/2225685,Aniakchak,2020/01/09 22:16:03.201+00,SCarlton@nps.gov_nps,2020/06/04 09:47:06.989+00,RJohnson@nps.gov_nps,6295613356,560029.1149,603410.4554,4b270d74-19b4-4bd3-a171-013b1572bb82
