Name,Type,Latitude,Longitude
Lake Brooks Picnic Area Shelter,Shelter,58.5462823516488,-155.793520584174
Campground Lean-to,Shelter,58.560077320021804,-155.777894655557
Campground Lean-to,Shelter,58.5601440220671,-155.777509633295
Campground Lean-to,Shelter,58.5598738098835,-155.777596755355
Brooks Camp Ranger Station (Historic),Ranger Station,58.556654330696,-155.778541936997
Brooks Camp Visitor Center,Visitor Center,58.5561359693438,-155.77819998576402
Brooks Lodge Dining Kitchen,Food Service,58.55545297587971,-155.778189812758
Brooks Lodge Office and Store,Store,58.555204663711,-155.778038775655
"Valley of 10,000 Smokes Visitor Center",Visitor Center,58.368581701909505,-155.382826310127
Grosvenor Camp Kitchen Dining Room,Food Service,58.719137941096,-155.494914262285
Brooks Lodge Rental Building,Store,58.55503922659861,-155.778180572751
Northwest Arctic Heritage Center,Visitor Center,66.8925614665532,-162.605378029511
Lake Clark Visitor Center,Visitor Center,60.197371585486295,-154.322643222782
Silver Salmon Creek Ranger Station,Ranger Station,59.980155726898296,-152.665420926777
Chinitna Bay Ranger Station,Ranger Station,59.870514606402295,-153.09051663061
Upper Twin Lake Ranger Station (Historic),Ranger Station,60.6476100384021,-153.818523085256
Exit Glacier Warming Hut,Shelter,60.188322784338,-149.632280691901
Exit Glacier Campground Shelter and Food Storage,Shelter,60.190966494134294,-149.618097891265
Exit Glacier Stone Kiosk,Shelter,60.184801612945606,-149.637057640147
Harding Icefield Trail Emergency Shelter,Weather Shelter,60.1821601111508,-149.702805148819
Exit Glacier Nature Center,Visitor Center,60.1883240953389,-149.631629470459
Kenai Fjords National Park Visitor Center,Visitor Center,60.116272704383405,-149.439721113066
Visitor Information Station,Information,58.4543166891624,-135.885135711362
Bettles Visitor Center and Ranger Station,Visitor Center,66.91801522784779,-151.513942849402
Backcountry Information Center,Information,63.7359107337574,-148.895861667539
Riley Creek Mercantile,Store,63.7329846867692,-148.89724131747602
Murie Science and Learning Center,Visitor Center,63.733551210154104,-148.91769300937202
Bookstore,Store,63.73161708184,-148.916208783364
Morino Grill,Food Service,63.7315686698071,-148.91577682207
Bus Stop and Baggage Claim,Shelter,63.731314384634295,-148.915154820648
Denali Visitor Center,Visitor Center,63.7309100293596,-148.91710314097202
Savage Campground Bus Stop,Shelter,63.7178738565021,-149.25624930840598
Savage River Check Station,Ranger Station,63.7390162448674,-149.295468720053
Toklat River Contact Station,Visitor Center,63.5215396161022,-150.04322484411801
Wonder Lake Ranger Station (Historic),Ranger Station,63.490416122955295,-150.871263724732
Wonder Lake Campground Bus Shelter,Shelter,63.454383892473096,-150.860954354727
Wonder Lake Campground Shelter,Shelter,63.4533957288017,-150.862656524884
Wonder Lake Campground Shelter,Shelter,63.4530353845568,-150.86500416447902
Talkeetna Ranger Station,Ranger Station,62.32249218340589,-150.11711986932698
Eielson Visitor Center,Visitor Center,63.4310404666123,-150.311449161364
Teklanika Campground Bus Stop,Shelter,63.6696294407223,-149.577612170756
Mountain Vista Shelter,Shelter,63.7152128776941,-149.254765525397
Savage River Bus Stop,Shelter,63.7401291166235,-149.29393721501302
Teklanika Rest Stop Bus Shelter,Shelter,63.654326928325005,-149.568043509255
Teklanika Rest Stop Bus Shelter,Shelter,63.6542281622579,-149.56795559919502
Teklanika Rest Stop Bus Shelter,Shelter,63.6541800482252,-149.567679566008
Sitka National Historical Park Visitor Center and Park Headquarters,Visitor Center,57.048620689058104,-135.319042712729
Wrangell-St. Elias Visitor Center,Visitor Center,62.0199731988585,-145.363362334372
Bus Shelter,Shelter,62.020796673417905,-145.364189803934
Slana Ranger Station,Ranger Station,62.70962848744679,-143.98183716869
Information Kiosk,Information Board,61.43657531046699,-142.964279447308
McCarthy Road Visitor Center,Visitor Center,61.4365167704272,-142.964138318212
Kennecott Visitor Center (Historic),Visitor Center,61.4833318452359,-142.88779414734
Chitina Ranger Station,Visitor Center,61.515949383397896,-144.438231763789
Mountain Vista Viewpoint,Shelter,63.71456556225429,-149.254243447043
Exit Glacier Pavilion,Shelter,60.1880229111343,-149.63129178322902
Amalik Bay Patrol Cabin,Ranger Station,58.1044491614439,-154.529535375356
Nonvianuk Patrol Cabin,Ranger Station,59.015609909534795,-155.60394910936898
McCarthy Ranger Station,Ranger Station,61.4397109615975,-142.896133573006
Eagle Visitor Center,Visitor Center,64.7901788250829,-141.203515462951
Bering Land Bridge Visitor Center and Park Headquarters,Visitor Center,64.4978340554484,-165.408224769914
Nuluk Emergency Shelter Cabin,Weather Shelter,65.8771799996492,-166.77314000030898
Ear Mountain Emergency Shelter Cabin,Weather Shelter,65.9592800004323,-166.130479999652
Grayling Creek Emergency Shelter Cabin,Weather Shelter,66.0377629787578,-165.135436668567
Quartz Creek Emergency Shelter Cabin,Weather Shelter,65.4045670965309,-164.65483221501898
Goodhope River Reindeer Emergency Shelter Cabin (Historic),Weather Shelter,66.0213899996331,-163.929089999911
Cottonwood Creek Emergency Shelter Cabin,Weather Shelter,65.793696490926,-163.609137005518
The Trail Center (Historic),Ranger Station,59.455466748396795,-135.314728075797
National Park Service Visitor Center (Historic),Visitor Center,59.453486011051,-135.318493192355
Junior Ranger Activity Center (Historic Pantheon Saloon),Information,59.4548358029681,-135.31671989515
Sheep Camp North Warming Tent,Weather Shelter,59.658792437547,-135.26785596195
Sheep Camp South Warming Tent,Weather Shelter,59.65873760950979,-135.268096526113
Sheep Camp Ranger Station,Ranger Station,59.65682799421229,-135.26740092964
Pleasant Camp Warming Tent,Weather Shelter,59.6384991267587,-135.29378284656602
Dyea Ranger Station,Ranger Station,59.505872244645005,-135.347745361231
Arctic Brotherhood Hall Skagway Visitor Center (Historic),Information,59.45401633641129,-135.318375707275
Aialik Bay Ranger Station,Ranger Station,59.8487382276063,-149.660781867266
