,name,type,latitude,longitude
0,Lake Brooks Picnic Area Outhouse,Restroom,58.54634861669379,-155.79308504987802
1,Brooks Falls Trail Comfort Station,Restroom,58.550747204682395,-155.781953541315
2,Margot Falls Comfort Station,Restroom,58.4416683975685,-155.605117474163
3,Brooks Camp Visitor Center,Visitor Center,58.5561359693438,-155.77819998576402
4,Brooks Lodge Guest Shower/Restroom,Restroom,58.5555597429523,-155.778563888012
5,Brooks Lodge Dining Kitchen,Food Service,58.55545297587971,-155.778189812758
6,Brooks Lodge Office and Store,Store,58.555204663711,-155.778038775655
7,"Valley of 10,000 Smokes Visitor Center Comfort Station",Restroom,58.3686423899508,-155.383284520438
8,"Valley of 10,000 Smokes Visitor Center",Visitor Center,58.368581701909505,-155.382826310127
9,Grosvenor Camp Outhouse (Historic),Restroom,58.7192567881767,-155.495117127423
10,Grosvenor Camp Kitchen Dining Room,Food Service,58.719137941096,-155.494914262285
11,Brooks Lodge Rental Building,Store,58.55503922659861,-155.778180572751
12,Northwest Arctic Heritage Center,Visitor Center,66.8925614665532,-162.605378029511
13,Lake Clark Visitor Center,Visitor Center,60.197371585486295,-154.322643222782
14,Exit Glacier Campground Restroom,Restroom,60.1912154123034,-149.61804625523
15,Exit Glacier Plaza Comfort Station (Summer Only),Restroom,60.18865254556211,-149.631483385359
16,Exit Glacier Nature Center,Visitor Center,60.1883240953389,-149.631629470459
17,Kenai Fjords National Park Visitor Center,Visitor Center,60.116272704383405,-149.439721113066
18,Exit Glacier Restroom (Winter Use Only),Restroom,60.1888547556995,-149.631265463211
19,Public Restroom,Restroom,58.4542629121258,-135.88529192246799
20,Visitor Information Station,Information,58.4543166891624,-135.885135711362
21,Vessel Fueling/Pumpout,Gas Station,58.455087116685895,-135.888686831775
22,Campground Vault Toilet,Restroom,58.4515259212662,-135.89310934078
23,Campground Vault Toilet,Restroom,58.4499976692279,-135.894989867058
24,Campground Vault Toilet,Restroom,58.4516880363764,-135.89285923461
25,Bettles Visitor Center and Ranger Station,Visitor Center,66.91801522784779,-151.513942849402
26,Backcountry Information Center,Information,63.7359107337574,-148.895861667539
27,Riley Creek Mercantile,Store,63.7329846867692,-148.89724131747602
28,Murie Science and Learning Center,Visitor Center,63.733551210154104,-148.91769300937202
29,Riley Creek Campground Restroom,Restroom,63.7316079608338,-148.896817540189
30,Bookstore,Store,63.73161708184,-148.916208783364
31,Morino Grill,Food Service,63.7315686698071,-148.91577682207
32,Restrooms,Restroom,63.7311420015172,-148.915737232044
33,Denali Visitor Center,Visitor Center,63.7309100293596,-148.91710314097202
34,Riley Creek Campground Caribou Loop Restroom,Restroom,63.7303541319819,-148.896916028255
35,Savage River Restroom,Restroom,63.740153151639795,-149.293681706839
36,Savage River Restroom,Restroom,63.74014127963179,-149.29380951492598
37,Savage River Toilet,Restroom,63.7399204424817,-149.29140142829
38,Kennels Restroom,Restroom,63.7205333333091,-148.967818889431
39,Savage Campground Restroom,Restroom,63.71635206746821,-149.259925698903
40,Savage Campground Restroom,Restroom,63.71469944434529,-149.26193694427
41,Mountain Vista Restroom,Restroom,63.7154542458581,-149.25496045053
42,Toklat River Restroom,Restroom,63.522255515588704,-150.044059883686
43,Toklat River Restroom,Restroom,63.522156374521295,-150.044058206685
44,Toklat River Restroom,Restroom,63.5220734214649,-150.04400808465098
45,Toklat River Restroom,Restroom,63.521991651409394,-150.043892650572
46,Toklat River Restroom,Restroom,63.5219016513482,-150.043899593577
47,Toklat River Restroom,Restroom,63.52181777829121,-150.04384499954
48,Toklat River Restroom,Restroom,63.521739405238,-150.04372820946
49,Toklat River Contact Station,Visitor Center,63.5215396161022,-150.04322484411801
50,Wonder Lake Campground Restroom,Restroom,63.4540630562551,-150.863036944142
51,Wonder Lake Campground Restroom,Restroom,63.4542800004025,-150.864244443963
52,Wonder Lake Campground Restroom,Restroom,63.4540870782714,-150.863959573769
53,Wonder Lake Campground Restroom,Restroom,63.453428287823805,-150.863907478734
54,Primrose Restroom,Restroom,63.72773638920321,-149.35693361081601
55,Primrose Rest Room,Restroom,63.7276141671202,-149.356960832834
56,Eielson Visitor Center,Visitor Center,63.4310404666123,-150.311449161364
57,Teklanika Campground Restrooms,Restroom,63.670968055631796,-149.581501111399
58,Mountain Vista Restroom,Restroom,63.7154044038243,-149.254920844503
59,Mountain Vista SST,Restroom,63.715076093601205,-149.254326414099
60,Sanctuary Campground Toilet,Restroom,63.72253833267139,-149.473413610958
61,Savage Campground Restroom,Restroom,63.71616111833839,-149.259585928673
62,Mountain Vista Restroom,Restroom,63.7150309735705,-149.254212050021
63,Toklat River Restroom,Restroom,63.522335132642795,-150.043985207635
64,Teklanika Campground Restrooms,Restroom,63.6700918390365,-149.580742261883
65,Teklanika Campground Restrooms,Restroom,63.6698760548899,-149.579610086114
66,Kantishna Airstrip Restroom,Restroom,63.539805549513105,-150.990941758048
67,Savage Campground Group Site Restroom,Restroom,63.7140262148878,-149.263347715229
68,Igloo Creek Campground Toilet,Restroom,63.60927497571429,-149.583911058036
69,Teklanika Campground Restrooms,Restroom,63.671190506783,-149.580465968695
70,Teklanika Campground Restrooms,Restroom,63.670903331587894,-149.581631246487
71,Teklanika Rest Stop Toilet,Restroom,63.6547455076094,-149.568130506314
72,Teklanika Rest Stop Toilet,Restroom,63.6546491025439,-149.568150558328
73,Teklanika Rest Stop SST,Restroom,63.6545582374821,-149.568084403283
74,Teklanika Rest Stop Bathrooms,Restroom,63.65448668643349,-149.568114728303
75,Riley Creek Campground Wolf Loop Restroom,Restroom,63.7311880025484,-148.897166464426
76,Restroom,Restroom,57.0494932806509,-135.316112180737
77,Sitka National Historical Park Visitor Center and Park Headquarters,Visitor Center,57.048620689058104,-135.319042712729
78,Old School Outhouse,Restroom,61.481159804760104,-142.885187987569
79,State Wayside,Restroom,61.4089304256836,-143.046043583863
80,Wrangell-St. Elias Visitor Center,Visitor Center,62.0199731988585,-145.363362334372
81,Comfort Station,Restroom,62.02056089125771,-145.36339102139098
82,Information Kiosk,Information Board,61.43657531046699,-142.964279447308
83,McCarthy Road Visitor Center,Visitor Center,61.4365167704272,-142.964138318212
84,Gilahina Trestle Wayside,Restroom,61.4380935284985,-143.719546793476
85,Kuskulana Bridge Wayside,Restroom,61.4870431427575,-144.017694947054
86,Chitina Wayside Outhouse,Restroom,61.5149763587368,-144.439268547493
87,Kennecott Visitor Center (Historic),Visitor Center,61.4833318452359,-142.88779414734
88,Chitina Ranger Station,Visitor Center,61.515949383397896,-144.438231763789
89,Dead Dog Hill Rest Area,Restroom,62.576762401170505,-143.535579495479
90,Rock Lake Wayside,Restroom,62.56366411227079,-143.41689792184098
91,Backcountry Pit Toilet,Restroom,63.4966720722059,-150.88910465985398
92,Backcountry Pit Toilet,Restroom,63.496593759152695,-150.889283485975
93,Lake Camp Vault Toilet,Restroom,58.6729238566957,-156.458616883076
94,Restroom and Storage,Restroom,58.5562521714228,-155.77817167174499
95,Campground Restroom,Restroom,58.559763788808795,-155.777953860597
96,Restroom,Restroom,63.718996561264895,-149.260323457174
97,Vault Comfort Station,Restroom,66.9166841479434,-151.51581665667499
