,name,type,latitude,longitude
0,Lower Dewey Reservoir,Reservoir,59.45031421189589,-135.30892846285602
1,Raft Launch,Canoe / Kayak Access,59.5307971395803,-135.34549231969999
2,Dry Bay Rafter Access,Canoe / Kayak Access,59.165071741087,-138.493305173491
3,Vessel Fuel Dock,Boat Dock,58.453368050517795,-135.887219140778
4,Public Use Dock,Boat Dock,58.4545578493262,-135.88582414483
5,Public Boat Launch,Boat Launch,58.4539217538941,-135.886867820539
6,NPS Administrative Dock,Boat Dock,58.4560265923242,-135.868933366353
7,Excursion Inlet Cannery Dock,Boat Dock,58.4159484040929,-135.446263716169
8,Bartlett Cove Public Use Marina,Marina,58.45554309199571,-135.88614744505
9,Gustavus Public Dock,Boat Dock,58.392285317015,-135.729030264296
10,Cruise Ship Tender Dock,Boat Dock,57.0474995302962,-135.338478859935
11,Cruise Ship Tender Dock,Boat Dock,57.0496639677669,-135.331250048023
12,Lake Camp Boat Launch,Boat Launch,58.6726177164877,-156.457867328566
13,Barry's Landing Boat Launch,Boat Launch,45.0960361728386,-108.213079540501
14,Horsehoe Bend Boat Storage Area,Boat Storage,44.96152240144279,-108.267788773673
15,Horseshoe Bend Boat Launch,Boat Launch,44.9573327425961,-108.26186452864799
16,Horseshoe Bend Marina,Marina,44.9577072468506,-108.26241800302401
17,Medicine Campground Boat Winch,Boat Launch,45.1096992981221,-108.204003906334
18,Ponderosa Boat Launch,Boat Launch,38.5197198795407,-107.301379975044
19,Stevens Creek Boat Launch,Boat Launch,38.4858900165549,-107.09183026066401
20,Iola Boat Launch,Boat Launch,38.4741431785735,-107.09823857101802
21,Lake Fork Boat Launch,Boat Launch,38.4559328492005,-107.321485757704
22,Pine Creek Boat Launch,Boat Launch,38.4539655478637,-107.357879654432
23,Lake Fork Marina Store,Marina,38.455860500151296,-107.32212917414199
24,Mineral Bottom,Boat Launch,38.524896188057795,-109.993293179072
25,Potash,Boat Launch,38.5065369565835,-109.65921019107799
26,The Point,Boat Launch,34.450927919987805,-97.0186757144293
27,Guy Sandy,Boat Launch,34.453840760967005,-97.04736766792401
28,Eagle Bay,Boat Launch,34.4756032317535,-97.03337802341879
29,Veterans Lake,Boat Launch,34.4910748682658,-96.9836253496142
30,Buckhorn,Boat Launch,34.438567206589305,-97.0078532120759
31,Lodore Boat Launch,Boat Launch,40.7271079993572,-108.887870343989
32,Deerlodge Boat Launch,Boat Launch,40.4464121086376,-108.511950573569
33,Rainbow Park Boat Launch,Boat Launch,40.494955370620396,-109.173706204201
34,Split Mountain Boat Launch,Boat Launch,40.4454335629727,-109.25257686479
35,Echo Park Boat Launch,Boat Launch,40.5204946149731,-108.99053523674499
36,Jenny Lake Boating Dock,Boat Launch,43.7518177925054,-110.725735639732
37,Cattleman's Bridge Landing,Boat Launch,43.8565007826326,-110.553221094517
38,Deadmans Bar Landing,Boat Launch,43.7606054844762,-110.62698465963601
39,Jackson Lake Dam Boat Launch,Boat Launch,43.858304069857795,-110.58597675177299
40,Signal Mountain Marina,Marina,43.8438960590682,-110.611716325262
41,Moose Boat Launch,Boat Launch,43.6558529023017,-110.714273557944
42,Moose Landing River Launch,Boat Launch,43.6561822025255,-110.71405715879699
43,Colter Bay Boat Launch,Boat Launch,43.9006787696494,-110.64259073423901
44,Jenny Lake Boat Launch,Boat Launch,43.74978959412729,-110.729628039377
45,Signal Mountain Lake Launch,Boat Launch,43.838592575464794,-110.616629048599
46,Pacific Creek Landing River Launch,Boat Launch,43.8457715653425,-110.517696069379
47,Colter Bay Marina,Marina,43.90149967020721,-110.642931333471
48,RR Ramp,Boat Launch,35.6516836148449,-101.633298777849
49,Fritch Fortress,Boat Launch,35.6879197904656,-101.592751854299
50,Non-Motorized Watercraft Area,Canoe / Kayak Access,35.718716005390206,-101.551167700045
51,Boat Lauch - Sanford-Yake,Boat Launch,35.706946748393605,-101.555698778123
52,Leeks Marina Boat Dock,Boat Dock,43.9298467904677,-110.640440307778
53,Leeks Marina Boat Dock,Boat Dock,43.9302699857552,-110.640491764813
54,Leeks Marina Boat Dock,Boat Dock,43.930164714683706,-110.640431627772
55,Signal Mountain Boat Dock,Boat Dock,43.844043197168205,-110.612275253641
56,Bridge Bay Boat Launch Ramp,Boat Launch,44.53345658659221,-110.44002286760401
57,Grant Marina Boat Launch,Boat Launch,44.3920986105461,-110.548395670238
58,Lewis Lake Boat Launch,Boat Launch,44.282623530162894,-110.628737971827
59,Yellowstone Lake,Lake,44.470740585979605,-110.361367897162
60,Rising Sun,Boat Launch,48.690571679156506,-113.52463133745
61,Two Medicine - foot,Boat Launch,48.4836302425496,-113.370020201399
62,Lake McDonald Lodge,Boat Launch,48.61790852078529,-113.879718503715
63,Swiftcurrent Boat Ramp,Boat Launch,48.7992958530295,-113.663659038913
64,Gold Stairs Boat Ramp,Boat Launch,48.69073860926989,-113.524889493626
65,Two Medicine Boat Ramp,Boat Launch,48.4834627774358,-113.36988922131
66,Apgar Concession Boat Launch,Boat Launch,48.52889920130771,-113.992891505611
67,Apgar Public Boat Launch,Boat Launch,48.5286887791647,-113.991540476693
68,Goat Haunt Dock,Boat Launch,48.95946953686,-113.88866975779699
69,Swiftcurrent Lake - Hotel,Boat Launch,48.7967231612815,-113.65843088236099
70,Rough Canyon,Marina,29.5729038145997,-100.97647250956601
71,Southwinds Marina,Marina,29.473935851355602,-101.038173282489
72,Marina,Marina,29.479021536811103,-101.01234223093799
73,Santa Elena Canyon Canoe Access,Canoe / Kayak Access,29.1558396402242,-103.598658163218
74,Afterbay Dam Boat Ramp,Boat Launch,45.3169404009327,-107.92082350292601
75,Hwy 96 / Evadale Bridge Public Boat Launch,Boat Launch,30.356231690834104,-94.0943518644886
76,Franklin Lake Day Use Area,Boat Launch,30.4716750982725,-94.11574053202119
77,McQueen's Landing Day Use Area,Boat Launch,30.791272707424103,-94.1510237879945
78,Four Oaks Day Use Area Parking,Boat Launch,30.155215998253396,-94.11589286212471
79,Confluence Boat Launch,Boat Launch,30.1615753135743,-94.11368686862579
80,Hwy 69 Pine Island Bayou Public Boat Ramp,Boat Launch,30.179552869789198,-94.18658037015351
81,Hwy 96 Public Boat Ramp,Boat Launch,30.2854735197573,-94.1915922135589
82,Elk Creek Marina,Marina,38.461831128208,-107.164803340246
83,Leeks Marina Boat Ramp,Boat Launch,43.9300648676159,-110.640050127513
84,String Lake Canoe Launch,Canoe / Kayak Access,43.78586558963921,-110.73085403321001
85,Spalding Bay Boat Launch,Boat Launch,43.8242359987102,-110.675491569594
86,String Lake Boat Launch,Canoe / Kayak Access,43.7982349140436,-110.727250740762
87,Yellowstone South Entrance Boat Launch,Boat Launch,44.1294329810771,-110.65908062444299
88,Two Ocean Lake Canoe / Kayak Access,Canoe / Kayak Access,43.9015269992257,-110.501822173594
89,Flagg Ranch Boat Launch,Boat Launch,44.099770743922996,-110.667617662244
90,Hwy 327 Public Boat Ramp,Boat Launch,30.346863421468896,-94.23964941021151
91,Pine St Public Boat Launch / Collier's Ferry,Boat Launch,30.1325344018423,-94.0959152495508
92,Baby Galvez Rd Canoe Launch,Boat Launch,30.334309387939,-94.2041916651196
93,FM418 Public Boat Ramp,Boat Launch,30.3981347653053,-94.2645091951025
94,3 Mile River Boat Ramp,Boat Launch,45.34401993733189,-107.877488653482
95,Cottonwood Creek Boat Ramp,Boat Launch,44.866125390625,-108.175648004068
96,White Bluffs Boat Launch,Boat Launch,46.6732517914825,-119.46063610168699
97,Box Canyon Courtesy Dock,Boat Dock,29.524623416795396,-101.17373142159401
98,Rough Canyon Low Water Courtesy Dock,Boat Dock,29.577062064425,-100.978530281964
99,Diablo East Long Courtesy Dock,Boat Dock,29.4779300530695,-101.01674640593001
100,Diablo East Short Courtesy Dock,Boat Dock,29.4779044920521,-101.016505117766
101,Spur 454 Low Water Courtesy Dock,Boat Dock,29.4818454497298,-100.989860616663
102,Spur 406 South Boat Launch,Boat Launch,29.5503205602554,-101.019757239976
103,Box Canyon Boat Launch,Boat Launch,29.523521348046604,-101.17426348695601
104,Southwinds Boat Launch,Boat Launch,29.4734158540023,-101.037745067198
105,Black Brush Low Boat Launch,Boat Launch,29.474661455848604,-100.985867106949
106,Rough Canyon Marina High Water Boat Launch,Boat Launch,29.5727682285075,-100.97705074395901
