,name,type,latitude,longitude
0,Lake Brooks Picnic Area Outhouse,Restroom,58.54634861669379,-155.79308504987802
1,Brooks Falls Trail Comfort Station,Restroom,58.550747204682395,-155.781953541315
2,Margot Falls Comfort Station,Restroom,58.4416683975685,-155.605117474163
3,Brooks Lodge Guest Shower/Restroom,Restroom,58.5555597429523,-155.778563888012
4,"Valley of 10,000 Smokes Visitor Center Comfort Station",Restroom,58.3686423899508,-155.383284520438
5,Grosvenor Camp Outhouse (Historic),Restroom,58.7192567881767,-155.495117127423
6,Exit Glacier Campground Restroom,Restroom,60.1912154123034,-149.61804625523
7,Exit Glacier Plaza Comfort Station (Summer Only),Restroom,60.18865254556211,-149.631483385359
8,Exit Glacier Restroom (Winter Use Only),Restroom,60.1888547556995,-149.631265463211
9,Public Restroom,Restroom,58.4542629121258,-135.88529192246799
10,Campground Vault Toilet,Restroom,58.4515259212662,-135.89310934078
11,Campground Vault Toilet,Restroom,58.4499976692279,-135.894989867058
12,Campground Vault Toilet,Restroom,58.4516880363764,-135.89285923461
13,Riley Creek Campground Laundry/Shower Facility,Showers,63.733071709828394,-148.897697642787
14,Riley Creek Campground Restroom,Restroom,63.7316079608338,-148.896817540189
15,Restrooms,Restroom,63.7311420015172,-148.915737232044
16,Riley Creek Campground Caribou Loop Restroom,Restroom,63.7303541319819,-148.896916028255
17,Savage River Restroom,Restroom,63.740153151639795,-149.293681706839
18,Savage River Restroom,Restroom,63.74014127963179,-149.29380951492598
19,Savage River Toilet,Restroom,63.7399204424817,-149.29140142829
20,Kennels Restroom,Restroom,63.7205333333091,-148.967818889431
21,Savage Campground Restroom,Restroom,63.71635206746821,-149.259925698903
22,Savage Campground Restroom,Restroom,63.71469944434529,-149.26193694427
23,Mountain Vista Restroom,Restroom,63.7154542458581,-149.25496045053
24,Toklat River Restroom,Restroom,63.522255515588704,-150.044059883686
25,Toklat River Restroom,Restroom,63.522156374521295,-150.044058206685
26,Toklat River Restroom,Restroom,63.5220734214649,-150.04400808465098
27,Toklat River Restroom,Restroom,63.521991651409394,-150.043892650572
28,Toklat River Restroom,Restroom,63.5219016513482,-150.043899593577
29,Toklat River Restroom,Restroom,63.52181777829121,-150.04384499954
30,Toklat River Restroom,Restroom,63.521739405238,-150.04372820946
31,Wonder Lake Campground Restroom,Restroom,63.4540630562551,-150.863036944142
32,Wonder Lake Campground Restroom,Restroom,63.4542800004025,-150.864244443963
33,Wonder Lake Campground Restroom,Restroom,63.4540870782714,-150.863959573769
34,Wonder Lake Campground Restroom,Restroom,63.453428287823805,-150.863907478734
35,Primrose Restroom,Restroom,63.72773638920321,-149.35693361081601
36,Primrose Rest Room,Restroom,63.7276141671202,-149.356960832834
37,Teklanika Campground Restrooms,Restroom,63.670968055631796,-149.581501111399
38,Mountain Vista Restroom,Restroom,63.7154044038243,-149.254920844503
39,Mountain Vista SST,Restroom,63.715076093601205,-149.254326414099
40,Sanctuary Campground Toilet,Restroom,63.72253833267139,-149.473413610958
41,Savage Campground Restroom,Restroom,63.71616111833839,-149.259585928673
42,Mountain Vista Restroom,Restroom,63.7150309735705,-149.254212050021
43,Toklat River Restroom,Restroom,63.522335132642795,-150.043985207635
44,Teklanika Campground Restrooms,Restroom,63.6700918390365,-149.580742261883
45,Teklanika Campground Restrooms,Restroom,63.6698760548899,-149.579610086114
46,Kantishna Airstrip Restroom,Restroom,63.539805549513105,-150.990941758048
47,Savage Campground Group Site Restroom,Restroom,63.7140262148878,-149.263347715229
48,Igloo Creek Campground Toilet,Restroom,63.60927497571429,-149.583911058036
49,Teklanika Campground Restrooms,Restroom,63.671190506783,-149.580465968695
50,Teklanika Campground Restrooms,Restroom,63.670903331587894,-149.581631246487
51,Teklanika Rest Stop Toilet,Restroom,63.6547455076094,-149.568130506314
52,Teklanika Rest Stop Toilet,Restroom,63.6546491025439,-149.568150558328
53,Teklanika Rest Stop SST,Restroom,63.6545582374821,-149.568084403283
54,Teklanika Rest Stop Bathrooms,Restroom,63.65448668643349,-149.568114728303
55,Riley Creek Campground Wolf Loop Restroom,Restroom,63.7311880025484,-148.897166464426
56,Restroom,Restroom,57.0494932806509,-135.316112180737
57,Old School Outhouse,Restroom,61.481159804760104,-142.885187987569
58,State Wayside,Restroom,61.4089304256836,-143.046043583863
59,Comfort Station,Restroom,62.02056089125771,-145.36339102139098
60,Gilahina Trestle Wayside,Restroom,61.4380935284985,-143.719546793476
61,Kuskulana Bridge Wayside,Restroom,61.4870431427575,-144.017694947054
62,Chitina Wayside Outhouse,Restroom,61.5149763587368,-144.439268547493
63,Dead Dog Hill Rest Area,Restroom,62.576762401170505,-143.535579495479
64,Rock Lake Wayside,Restroom,62.56366411227079,-143.41689792184098
65,Kendesnii Campground,Campground,62.52981726327349,-143.25875239938802
66,Jack Creek Rest Area,Primitive Camping,62.4626943606667,-143.103852308141
67,Backcountry Pit Toilet,Restroom,63.4966720722059,-150.88910465985398
68,Backcountry Pit Toilet,Restroom,63.496593759152695,-150.889283485975
69,Lake Camp Vault Toilet,Restroom,58.6729238566957,-156.458616883076
70,Picnic Area Shelter,Picnic Area,58.5561952803841,-155.778550109002
71,Restroom and Storage,Restroom,58.5562521714228,-155.77817167174499
72,Campground Restroom,Restroom,58.559763788808795,-155.777953860597
73,Restroom,Restroom,63.718996561264895,-149.260323457174
74,Vault Comfort Station,Restroom,66.9166841479434,-151.51581665667499
75,Store Outhouse,Restroom,61.4836566804565,-142.88744753910402
76,Recreation Hall Outhouse,Restroom,61.4819276542818,-142.886402444394
77,Recreation Hall Outhouse,Restroom,61.48191045427011,-142.886463375435
78,Eagle Visitor Center Comfort Station,Restroom,64.7901160060403,-141.20371567208701
79,Slaven Roadhouse Comfort Station,Restroom,65.3502224506063,-143.122393937739
80,Slaven Public Use Cabin Comfort Station,Restroom,65.3501004625234,-143.125417035793
81,Coal Creek Airport Outhouse,Restroom,65.30732403045879,-143.14173508688
82,Serpentine Hot Springs Outhouse,Restroom,65.8514388891593,-164.699865572617
83,Outhouse,Restroom,59.5113621053751,-135.346930930677
84,Dyea Campground Outhouse,Restroom,59.506933743366204,-135.34970574156299
85,Dyea Campground Outhouse,Restroom,59.5081347201822,-135.3510846525
86,Sheep Camp South Moldering Toilet,Restroom,59.6595348460515,-135.266770783212
87,Sheep Camp North Moldering Toilet,Restroom,59.659560112068704,-135.266686063155
88,Pleasant Camp Outhouse,Restroom,59.6387812099504,-135.293049580068
89,Nelson Slough Outhouse,Restroom,59.5029619286676,-135.359177158998
90,Tent Platform,Primitive Camping,58.8206047590379,-155.66604419956002
91,Dry Bay Rafter Camp Vault Toilet,Restroom,59.1644925626935,-138.4931721294
92,Gold Dredge Outhouse,Restroom,65.3343987698548,-143.114002671038
93,Glenn Creek Public Use Cabin Comfort Station,Restroom,65.3016468246014,-142.093028607334
94,Nation Bluff Public Use Cabin Comfort Station,Restroom,65.2037197010645,-141.741571992535
95,Baked Mountain Hut Outhouse,Restroom,58.293652563998606,-155.201777027112
96,Coldfoot Ranger Station Comfort Station,Restroom,67.2534229467416,-150.17525932283002
