,name,type,latitude,longitude
0,Alaska Packers Cabin (Historic),Historic Cabin,56.763552036367294,-157.491128420619
1,Russian Bishop's House (Historic),Museum,57.0514255449638,-135.331281415044
2,Old School (Historic),Historic Building,57.0514696019937,-135.330866003762
3,Priests' Quarters (Historic),Historic Building,57.051477415999,-135.331703612331
4,Old School House (Shaw) (Historic),Historic Building,61.48123873681371,-142.885252538613
5,Recreation Hall (Historic),Historic Building,61.482030255351496,-142.88630765433
6,School House (Historic),Historic Building,61.482811037882,-142.887212503944
7,Exhibit Building,Museum,62.020274175062895,-145.363083006182
8,Hospital (Historic),Historic Building,61.4846988881647,-142.886907624737
9,Tramway Turnhouse (Historic),Historic Building,61.4856793838309,-142.887178115921
10,North Tailings Hoist House (Historic),Historic Building,61.4851138114466,-142.889389736424
11,Silk Stocking Cottage 32D (Historic),Historic Building,61.4832094921527,-142.884950496407
12,Silk Stocking Cottage 32C (Historic),Historic Building,61.483317294226,-142.88513076853002
13,East Bunkhouse (Historic),Historic Building,61.4845345820531,-142.886559970501
14,Kirkwoods Cottage 39C (Historic),Historic Building,61.4867285545437,-142.890551345213
15,West Bunkhouse (Historic),Historic Building,61.4829941970064,-142.887534685163
16,Refrigeration Plant (Historic),Historic Building,61.48309912507771,-142.887551733175
17,Railroad Depot/Station House (Historic),Historic Building,61.484185017815506,-142.88758507619698
18,National Creek Bunkhouse (Historic),Historic Building,61.4844174269734,-142.887039407827
19,Transformer House (Historic),Historic Building,61.4860712570971,-142.88935169739798
20,Power Plant (Historic),Historic Building,61.4861253461339,-142.890085689897
21,Dairy Barn (Historic),Historic Building,61.480777360500205,-142.885580935836
22,General Managers Office (Historic),Historic Building,61.4848488552666,-142.887508177145
23,Mill Building (Historic),Historic Building,61.4849405433289,-142.888399859751
24,Moore Cabin (Historic),Historic Cabin,59.4551277531665,-135.313920933249
25,J. Bernard Moore House (Historic),Museum,59.4549938290755,-135.313813038175
26,Lynch & Kennedy Haberdashery & Dry Goods Store (Historic),Historic Building,59.454460028712795,-135.31651209300898
27,Mascot Saloon (Historic),Museum,59.454051812435395,-135.317244465507
28,Verbauwhede's Cigar Store and Confectionery (Historic),Historic Building,59.4539438323621,-135.31767835780198
29,Jeff. Smiths Parlor Museum (Historic),Museum,59.4537699902439,-135.319119622781
30,National Park Service Museum and Headquarters (Historic),Museum,59.453385738982895,-135.318325844242
31,Goldberg Cigar Store (Historic),Historic Building,59.4555186374321,-135.314652466746
32,Boas Tailor & Furrier Shop (Historic),Historic Building,59.4539973273984,-135.317580310735
33,Meyer Building (Historic),Historic Building,59.456067553805,-135.317053409377
34,YMCA Gymnasium Building (Historic),Historic Building,59.4559760767429,-135.31720568448
35,Peniel Mission (Historic),Historic Building,59.4553476193159,-135.31351770397498
36,Pacific Clipper Line Office (Historic),Historic Building,59.4540361504248,-135.317386532603
37,Hern Liquor Store (Historic),Historic Building,59.4540442834303,-135.317494919677
38,3rd Avenue Crib (Historic),Historic Building,59.45540920035771,-135.314472119623
39,Brass Pic (Historic),Historic Building,59.4554349623752,-135.314528830662
40,Pullen House Site (Historic) (Private),Historic Site,59.4548863230024,-135.312417823227
41,Skagway Museum and City Hall (Historic),Museum,59.4556208845016,-135.311565953649
42,Frye-Bruhn Refrigerated Warehouse (Historic),Historic Building,59.4553014812846,-135.314338787533
43,4th of July Cabin (Historic),Historic Cabin,65.1344651990094,-141.988490801305
44,4th of July Cabin Blacksmith Shop (Historic),Historic Building,65.1346902931623,-141.988358701215
45,Bonanza Mine (Historic),Historic Mine,61.5138888999979,-142.83166670020398
46,Jumbo Mine (Historic),Historic Mine,61.5238888997924,-142.849722199471
47,Dyea Wharf Ruins (Historic),Historic Ruins,59.4888352480692,-135.35635358908002
48,Diamond Post Office (Historic),Historic Building,63.8866667001889,-150.903055600333
49,Sitka National Cemetery,Cemetery / Graveyard,57.0549441823546,-135.323660838866
50,Nabesna Mine (Historic),Historic Mine,62.37194440000629,-143.01194439969402
51,St. Nicholas Church (Historic),Historic Building,56.9137654724303,-157.603434006925
52,Sheldon Jackson Museum (Historic),Museum,57.0504966043326,-135.32247477706102
53,Vining and Wilkes Warehouse (Historic Ruin),Historic Ruins,59.5014019356076,-135.357240430682
54,See House (Historic),Historic Building,57.051762573192796,-135.328301008019
55,Emmons House (Historic),Historic Building,57.05159543307921,-135.32992728312402
56,Russian-American Building No. 29 (Historic),Historic Building,57.0495779717085,-135.33653439761298
57,W.P. Mills House (Historic),Historic Building,57.0482315807936,-135.333477783537
58,Baranof Castle State Historic Site,Historic Site,57.048653933080594,-135.33802835562798
59,Sitka Pioneer Home (Historic),Historic Building,57.049895814924405,-135.33775161344
60,Saanaheit Pole and House Posts,Totem Pole,57.0490764743677,-135.31911735377898
61,Bicentennial Pole,Totem Pole,57.0486985721109,-135.319209037842
62,Haa leelk'u has Kaa sta heeni deiyi,Totem Pole,57.0489583102874,-135.319438130997
63,Frog/Raven Pole,Totem Pole,57.04832872285971,-135.31881298157302
64,Yaadaas Crest Corner Pole,Totem Pole,57.04759224435921,-135.318156694127
65,Wolf Pole,Totem Pole,57.0472643261364,-135.31795748499098
66,Memorial/Mortuary Column,Totem Pole,57.0469740439392,-135.31781988089799
67,Raven/Shark Pole,Totem Pole,57.0461769033976,-135.316996128338
68,Yaadaas Crest Corner Pole,Totem Pole,57.046001693278505,-135.316767167182
69,Trader Legend Pole,Totem Pole,57.045791845136,-135.316477159985
70,Raven Memorial Pole,Totem Pole,57.045456109907796,-135.316157523768
71,Gaanaxadi/Raven Crest Pole,Totem Pole,57.045475478921006,-135.315775513509
72,Lakich'inei Pole,Totem Pole,57.045867926187704,-135.314204297441
73,Mosquito Legend Pole,Totem Pole,57.045822225156606,-135.314752887814
74,Totem Pole,Totem Pole,57.048220798786296,-135.31903011972
75,Totem Pole,Totem Pole,57.0486524850796,-135.319656442146
76,K'alyaan Pole,Totem Pole,57.046068004323594,-135.31307441567301
77,Battle of Sitka 1804 Site (Historic),Historic Site,57.045330755822604,-135.313287917819
78,Moore-Manderhiit-DeGroff House (Historic),Historic Building,57.051866878263596,-135.327844268709
79,Hanlon-Osbakken House (Historic),Historic Building,57.0512877548702,-135.331845661428
80,Murray Apartments and Cottages (Historic),Historic Building,57.05050489433821,-135.337104041
81,US Coast Guard and Geodetic Survey House (Historic),Historic Building,57.0505549113722,-135.336050490285
82,Mills House (Historic),Historic Building,57.0510029446767,-135.33538229583098
83,American Flag-Raising Site (Historic),Historic Site,57.0486737400941,-135.338031405631
84,Cable House and Station (Historic),Historic Building,57.04855006501,-135.339350456527
85,Sitka US Post Office and Court House (Historic),Historic Building,57.048894485244,-135.338796998151
86,Totem Pole,Totem Pole,57.0494072435924,-135.339253374461
87,Alaska Native Brotherhood Hall (Historic),Historic Building,57.050655237440395,-135.341243016813
88,Princess Maksutov's Grave,Grave,57.0512319828323,-135.33795508257901
89,Russian Cemetery,Cemetery / Graveyard,57.0524232556417,-135.337600713338
90,Lutheran Cemetery,Cemetery / Graveyard,57.0513737299286,-135.337365892178
91,Tlingit Village Site (Historic),Historic Site,57.0508063885431,-135.33883999118
92,Sitka Historical Museum at Harrigan Centennial Hall,Museum,57.0494289606072,-135.332345189767
93,Cemetery,Cemetery / Graveyard,59.7840322346416,-135.083338410579
94,Richard L. Proenneke Site (Historic),Historic Site,60.64500660463321,-153.820959694912
95,Gold Rush Cemetery (Historic),Cemetery / Graveyard,59.4731652784221,-135.28937350357
96,Skagway Public Library,Library,59.4577340769374,-135.31409767436898
97,Mason Lovell Blacksmith Shop,Historic Building,44.82918834852801,-108.160204176574
98,Mason Lovell  Bunkhouse,Historic Building,44.8295020547412,-108.160014901446
99,Mason Lovell North Cabin,Historic Cabin,44.8301377481731,-108.15946237007
100,Ewing Snell Ranch House,Historic Building,45.0840357196848,-108.264221887249
101,Ewing Snell Chicken Coop,Historic Building,45.0841661947735,-108.262931854373
102,Hillsboro Corral and Stud  Barn,Historic Building,45.0983084973825,-108.223746188748
103,Lockhart Ranch House,Historic Building,45.136106904064796,-108.240654770237
104,Lockhart Guest Cabin,Historic Cabin,45.1379250593001,-108.24061264320801
105,Lockhart Ranch Office,Historic Building,45.13784562524611,-108.24058671519
106,Lockhart Storage Shed,Historic Building,45.137820481229,-108.240391973058
107,Lockhart Homestead Cabin,Historic Cabin,45.137893511278705,-108.24102756749001
108,Lockhart Spring House,Historic Building,45.137982285339,-108.24026177696999
109,Lockhart Generator Shed,Historic Building,45.13772569416471,-108.24040956007
110,Lockhart Log Privy,Historic Building,45.138246879518796,-108.24009916185899
111,Lockhart North Bunkhouse,Historic Building,45.1383800266092,-108.24079688333299
112,Lockhart South Bunkhouse,Historic Building,45.1384874026822,-108.24109532853599
113,Lockhart Privy,Historic Building,45.1385656447354,-108.24135147371
114,Lockhart Chicken Coop,Historic Building,45.138804041897295,-108.240736506292
115,Lockhart Garage/shed,Historic Building,45.138621063773,-108.24024841396098
116,Lockhart Barn/Stable,Historic Building,45.139147065130395,-108.24128493266501
117,Lockhart Blacksmith Shop,Historic Building,45.13901522604079,-108.240318551008
118,Lockhart Hay/Calf Pen,Historic Building,45.139728256525295,-108.24023258195
119,Blacksmith Shop,Historic Building,45.0994173031359,-108.23210867743
120,Chicken Coop,Historic Building,45.099556493230494,-108.23190563029199
121,Post Office,Historic Building,45.099441847152605,-108.231656106122
122,Root Cellar,Historic Building,45.0995577462313,-108.232961666009
123,Milk House,Historic Building,45.09976083636929,-108.23275696486999
124,Ed's Cabin,Historic Cabin,45.1000584015715,-108.232597848762
125,Ruth-Aldrich Ranch Cabin,Historic Cabin,45.0909701583965,-108.245904273803
126,Morrell Cabin,Historic Cabin,38.48375923310721,-111.365066852128
127,Pueblo Bonito,Historic Ruins,36.0605735256664,-107.96162598065
128,Chetro Ketl,Historic Ruins,36.0603268164987,-107.95413904456301
129,Pueblo Del Arroyo,Historic Ruins,36.0611260810418,-107.96554370231199
130,Hungo Pavi,Historic Ruins,36.050127069568504,-107.92988954308599
131,Casa Rinconada,Historic Ruins,36.054806675748104,-107.960248352714
132,Una Vida,Historic Ruins,36.0335456563022,-107.91220467407
133,Penasco Blanco,Historic Ruins,36.0816059279569,-108.00294350172301
134,Tsin Kletsin,Historic Ruins,36.036338574199796,-107.957793769046
135,New Alto,Historic Ruins,36.0697560669054,-107.959811288417
136,Pueblo Alto,Historic Ruins,36.0698194489485,-107.957376344762
137,Wijiji,Historic Ruins,36.026221921326105,-107.869325076936
138,Gallo Cliff Site,Historic Ruins,36.0375139449985,-107.890584873381
139,Pueblo Pintado,Historic Ruins,35.976944390844295,-107.673619177963
140,Kin Bineola,Historic Ruins,36.003300861752294,-108.14085268042601
141,Kin Kletso,Historic Ruins,36.0651485157749,-107.969963373315
142,Casa Chiquita,Historic Ruins,36.0690790244454,-107.976543277785
143,Kin Yaa,Historic Ruins,35.676012579375296,-108.11361488891899
144,Kin Klizhin,Historic Ruins,36.0288168090892,-108.07293286727699
145,Travertine Nature Center,Museum,34.5041000491158,-96.94948997942079
146,Bromide Pavillion,Historic Site,34.4967926051507,-96.9831121732655
147,12th Street Fountain,Historic Site,34.497142861388696,-96.9820461735412
148,Lincoln Bridge,Historic Site,34.5040388890742,-96.970486632687
149,Bison Pasture,Historic Site,34.498502359312404,-96.97456978846131
150,Major John Wesley Powell Historical Marker,Historic Marker,40.4453862689405,-109.25306261012
151,Josie Morris Homesite,Historic Site,40.4254245293775,-109.174948852046
