,Code,Name,Latitude,Longitude,Acres,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016,att_2017,att_2018,att_2019,att_2020,att_Average
0,ABLI,Abraham Lincoln Birthplace National Historical Park,37.535671,-85.7340637,338.7514314,163568,169515,163928,241264,148605,252495,269580,260964,238226,228141,213629
1,ACAD,Acadia National Park,44.3385559,-68.2733346,34766.27907,2374645,2431052,2254922,2563129,2811184,3303393,3509271,3537575,3437286,2669034,2889149
2,ADAM,Adams National Historical Park,42.256412,-71.011167,13.63651004,219975,336031,285501,178468,183632,199301,255562,121007,187400,6937,197381
3,AFBG,African Burial Ground National Monument,40.7150514,-74.0053687,0.34394487100000004,108585,77624,93234,54861,56348,46526,43182,45035,47427,7908,58073
4,AGFO,Agate Fossil Beds National Monument,42.421703,-103.75388,3045.134062,11617,11824,10504,12440,13264,15555,32038,16238,16657,8722,14886
5,ALKA,Ala Kahakai National Historic Trail,19.689206,-156.021329,424.242424,0,0,0,0,0,0,0,0,0,0,0
6,ALAG,Alagnak Wild River,58.756222,-156.51724,30907.513860000003,0,0,0,0,0,0,0,0,0,0,0
7,ALFL,Alibates Flint Quarries National Monument,35.575045,-101.683787,1372.259424,3214,3383,1555,4513,9492,8153,6613,7415,8847,4269,5745
8,ALPO,Allegheny Portage Railroad National Historic Site,40.4692629,-78.5437922,1310.872059,118410,138864,107977,172883,168433,189371,201837,189047,189189,136029,161204
9,AMME,American Memorial Park,15.21226,145.724335,139.8468513,0,0,0,0,0,0,0,0,0,0,0
10,AMIS,Amistad National Recreation Area,29.4216948,-100.9068262,61681.66391,1436759,1367502,1025151,1130096,1250051,1164530,1221635,1111770,1267900,1424139,1239953
11,ANDE,Andersonville National Historic Site,32.197776,-84.129294,521.0467526000001,108812,122883,98771,127189,136686,134216,132149,138164,103635,63799,116630
12,ANJO,Andrew Johnson National Historic Site,36.117189,-82.856625,16.48720354,52322,51261,42929,42863,45357,45937,53998,50671,51189,46092,48262
13,ANIA,Aniakchak National Monument,58.756222,-156.51724,603410.4554,57,19,134,134,153,100,100,100,100,36,93
14,ANTI,Antietam National Battlefield,39.4798039,-77.7394856,3249.049004,384987,510921,370832,337079,347180,351911,366508,326197,287343,85884,336884
15,APIS,Apostle Islands National Lakeshore,46.8122706,-90.8209629,72777.02156000001,176040,163419,148556,290059,232662,183796,203421,252920,240613,219009,211050
16,APPA,Appalachian National Scenic Trail,39.27954,-77.785195,316425.9504,0,0,0,0,0,0,0,0,0,0,0
17,APCO,Appomattox Court House National Historical Park,37.3775,-78.796,1778.6763809999998,258917,320668,317660,278776,412640,303139,113960,103044,102397,57513,226871
18,ARCH,Arches National Park,38.733081,-109.5925139,76458.19051,1040758,1070577,1082866,1284767,1399247,1585718,1539028,1663557,1659702,1238083,1356430
19,ARPO,Arkansas Post National Memorial,34.0166096,-91.3451369,763.2574801,37127,39703,36420,30860,38702,34405,36079,30126,28519,29653,34159
20,ARHO,"Arlington House, The Robert E. Lee Memorial",38.882153,-77.073524,17.13552104,576816,562772,586531,671638,532050,1057500,726059,49500,0,0,476287
21,ASIS,Assateague Island National Seashore,38.249822,-75.1559737,42758.99469,2105419,2154859,2056828,2170681,2275606,2267821,2347167,2136889,2344536,2481660,2234147
22,AZRU,Aztec Ruins National Monument,36.8346019,-107.9960917,316.6652687,41106,44744,41312,44721,53165,57692,52756,54933,63777,30223,48443
23,BADL,Badlands National Park,43.716892,-101.892914,242735.7444,870741,883406,892372,868094,989354,996263,1054325,1008942,970998,916932,945143
24,BAND,Bandelier National Monument,35.7772999,-106.2687907,33683.63595,193914,150289,126682,130106,174073,198478,209141,198441,200741,94948,167681
25,BEPA,Belmont-Paul Women's Equality National Monument,38.891944,-77.003611,0.34477086700000004,0,0,0,0,0,2704,10893,9081,9913,2535,7025
26,BEOL,Bent's Old Fort National Historic Site,38.0451225,-103.4336602,829.4903597,26842,25815,23324,24555,26219,31948,26397,23562,21674,12438,24277
27,BELA,Bering Land Bridge National Preserve,66.0740832,-164.9347562,2785109.207,1890,2642,2642,2636,2642,2642,2642,2642,2642,2642,2566
28,BIBE,Big Bend National Park,29.2166538,-103.2663479,810878.1015,361862,292055,316953,314102,381747,388290,440276,440091,463832,393907,379312
29,BICY,Big Cypress National Preserve,25.898814,-81.318701,727814.1057,941393,882570,1007788,1192856,1112290,1102148,922883,794350,1007471,1181930,1014568
30,BIHO,Big Hole National Battlefield,45.6375,-113.643611,977.3883617999999,36290,35207,38092,36987,39549,41795,36717,56943,45861,36234,40368
31,BISO,Big South Fork National River and Recreation Area,36.4701139,-84.6411206,122460.6017,606579,600161,565063,599906,643135,684715,761200,760906,750494,772625,674478
32,BITH,Big Thicket National Preserve,30.404128,-94.415751,113139.5931,137722,135262,120108,109956,125832,192809,170649,221514,255926,309053,177883
33,BICA,Bighorn Canyon National Recreation Area,45.312493,-107.935565,119828.0065,201010,245831,241527,224083,245173,259485,231836,235570,249659,212295,234647
34,BICR,Birmingham Civil Rights National Monument,33.515278,-86.814722,0.880662913,0,0,0,0,0,0,0,0,0,0,0
35,BISC,Biscayne National Park,25.4631936,-80.3463139,173836.4991,476077,495613,486848,525745,508164,514709,446961,469253,708522,402770,503466
36,BLCA,Black Canyon of the Gunnison National Park,38.4657461,-107.16668,31227.968610000004,168336,192570,175852,183045,209166,238018,307143,308962,432818,341620,255753
37,BLRI,Blue Ridge Parkway,35.564766,-82.489803,101864.5926,15382447,15205059,12877368,13941749,15054603,15175578,16093765,14690418,14976085,14099485,14749656
38,BLUE,Bluestone National Scenic River,37.541667,-80.999167,4316.597175,41670,36842,36266,38450,36733,34139,32028,31316,37663,25207,35031
39,BOWA,Booker T. Washington National Monument,37.123333,-79.765833,243.95730600000002,24030,24361,22103,26127,27205,23440,25479,22732,24640,22482,24260
40,BOAF,Boston African American National Historic Site,42.36,-71.064722,0.5880824570000001,379906,404248,386084,408641,412377,414170,413151,410893,419585,89616,373867
41,BOHA,Boston Harbor Islands National Recreation Area,42.3552589,-71.050518,1595.2604789999998,0,0,0,0,0,0,0,0,0,71991,71991
42,BOST,Boston National Historical Park,42.3747172,-71.0540366,43.90171377,2546156,2629064,2245875,2476078,2262841,2594495,3425606,3053241,3201834,277170,2471236
43,BRCR,Brices Cross Roads National Battlefield Site,34.307545,-88.720974,0.992710291,0,0,0,0,0,0,0,0,0,0,0
44,BRVB,Brown v. Board of Education National Historic Site,39.037925,-95.676498,2.047610217,16886,21101,19356,26868,25338,27968,25204,24083,21413,4064,21228
45,BRCA,Bryce Canyon National Park,37.5965706,-112.1787896,35986.975230000004,1296000,1385352,1311875,1435741,1745804,2365110,2571684,2679478,2594904,1464655,1885060
46,BUIS,Buck Island Reef National Monument,17.786939999999998,-64.61916,18987.9403,28223,30436,28972,34400,41936,38929,33082,31411,37085,16032,32051
