,name,type,latitude,longitude
0,Parking Lot,Parking Lot,58.4540833360039,-135.88564791471
1,Overnight Parking,Parking Lot,58.4529884092599,-135.887528809988
2,East Entrance Parking Lot,Parking Lot,57.049780399846,-135.313992605297
3,Visitor Center Upper Parking Lot,Parking Lot,57.0492931335149,-135.319330652924
4,Visitor Center Lower Parking Lot,Parking Lot,57.0488056531837,-135.319407033976
5,Overnight Parking,Parking Lot,59.5055099643988,-135.348468393722
6,Exit Glacier Parking Lot,Parking Lot,60.1889155167408,-149.629332622898
7,Windows Parking,Parking Lot,38.687367048449104,-109.536679840825
8,Wolfe Ranch Parking,Parking Lot,38.734871431726106,-109.52048838782301
9,Salt Valley Overlook Parking,Parking Lot,38.740385993473,-109.571109756218
10,Amphitheater Parking,Parking Lot,38.7762652068512,-109.589336099602
11,Balanced Rock Parking,Parking Lot,38.7016904791812,-109.56633818597601
12,Double Arch Parking,Parking Lot,38.688023287895,-109.53882313528099
13,Devil's Garden Picnic Parking,Parking Lot,38.7794166799925,-109.59299755509001
14,Double Arch Parking,Parking Lot,38.688009678885706,-109.538654669167
15,Fiery Furnace Parking,Parking Lot,38.7431934673805,-109.56594574871
16,Wolfe Ranch Parki Parking,Parking Lot,38.735467753131296,-109.520673235949
17,Visitor Center Parking,Parking Lot,38.6163319651841,-109.620707714918
18,La Sal Mountain View Parking,Parking Lot,38.626288207948896,-109.591095241797
19,Garden Of Eden Parking,Parking Lot,38.6980012426745,-109.55023566903499
20,Delicate Arch Road Viewpoint Parking,Parking Lot,38.7339001410662,-109.502043296291
21,Juniper Basin Group Campground Parking,Parking Lot,38.773314287846205,-109.58709090907699
22,Sand Dunes Arch Parking,Parking Lot,38.764495440854205,-109.583627817724
23,Campground Parking,Parking Lot,38.7802164045358,-109.59163032716101
24,Campground Registration Parking,Parking Lot,38.7803381046186,-109.591046732764
25,Skyline Arch Trailhead Parking,Parking Lot,38.772002441954896,-109.59098485072201
26,Courthouse Towers Parking,Parking Lot,38.6369902282204,-109.600097049914
27,Devil's Garden Picnic Parking,Parking Lot,38.77989968332071,-109.59249200874599
28,Campground Restroom Parking,Parking Lot,38.779392140975794,-109.589911611993
29,Canyon Wren Group Campground Parking,Parking Lot,38.77682458423129,-109.58920806651501
30,Devil's Garden Parking,Parking Lot,38.7823029609536,-109.59505445848801
31,Devil's Garden Parking,Parking Lot,38.7815119994162,-109.59438763503401
32,Entrance Road Parking,Parking Lot,38.6113260947828,-109.60772252109501
33,Fiery Furnace Parking,Parking Lot,38.74271987805871,-109.566157381853
34,Panorama Point Parking,Parking Lot,38.718648939703705,-109.553675673373
35,Devil's Garden Parking,Parking Lot,38.782713881232795,-109.593292731291
36,Devil's Garden Parking,Parking Lot,38.7819583207194,-109.59457302416
37,Park Avenue Parking,Parking Lot,38.624408337671596,-109.599535388532
38,Petrified Dunes Parking,Parking Lot,38.665635100683204,-109.587515421365
39,Windows Parking,Parking Lot,38.6872822103915,-109.536600511771
40,Parking,Parking Lot,29.472429751332303,-101.038020382385
41,Parking,Parking Lot,29.480207750617105,-101.029506981601
42,Parking,Parking Lot,29.4765254511151,-101.01500298174601
43,Parking,Parking Lot,29.475577451471,-101.015150481846
44,Parking,Parking Lot,29.478151751220103,-101.012261781883
45,Parking,Parking Lot,29.4718669509499,-101.013364181632
46,Visitor Centert Parking,Parking Lot,36.83420167231029,-108.00020251986099
47,Overflow Parking,Parking Lot,36.8338316000589,-108.000760024239
48,Cultural Resources Building Parking,Parking Lot,36.8336938589653,-108.00051108507
49,Recreational Vehicle/automobile Parking,Parking Lot,36.8342795913633,-108.001194732535
50,Amphitheatre Parking Lot,Parking Lot,35.795253593393895,-106.281358267987
51,Bus and Overflow Parking,Parking Lot,35.7951611653311,-106.28056221844601
52,Walk-In Campsite Parking,Parking Lot,35.7959151018434,-106.280449600369
53,Walk-In Campsite Parking,Parking Lot,35.7969716925613,-106.280110195139
54,Parking Lot,Parking Lot,35.7786916341408,-106.270459522582
55,Scenic Overlook Parking Lot,Parking Lot,35.7728245701545,-106.26131780137
56,Cerro Grande Trailhead Parking Lot,Parking Lot,35.847657553000005,-106.422094953611
57,Parking Lot,Parking Lot,35.84825837740821,-106.4244333832
58,Alamo Boundary Trailhead Parking Lot,Parking Lot,35.8334278043315,-106.44348587314501
59,Dome Trailhead Parking Lot,Parking Lot,35.765306339046205,-106.366832927063
60,Apache Spring Trailhead Parking Lot,Parking Lot,35.8337153015269,-106.37713564606301
61,Ponderosa Trailhead Parking Lot,Parking Lot,35.8326474778013,-106.356929294334
62,Parking Lot,Parking Lot,35.8277077044449,-106.211931742815
63,Burnt Mesa Parking,Parking Lot,35.828211940787604,-106.328996313355
64,Alamo Spring Trailhead,Parking Lot,35.8251642987169,-106.43283426990801
65,Picnic Area Parking Lot,Parking Lot,38.045695641463496,-103.431211791446
66,Interpretive Plaza Parking Lot,Parking Lot,38.04361865505229,-103.432002473983
67,Animal Highways Interpretive Pullout,Parking Lot,29.3324029071906,-103.25832693097901
68,Badlands Parking Area,Parking Lot,29.2944897874305,-103.493981785095
69,Chisos Mountain Lodge Parking,Parking Lot,29.2706908182602,-103.298933529569
70,Chisos Cottage Parking,Parking Lot,29.268346201667104,-103.302308945863
71,Fossil Bone Parking,Parking Lot,29.4191548721345,-103.137532346905
72,Fossil Bone Road,Parking Lot,29.419225428182397,-103.139392682169
73,The Camel Experiment Interpretive Pullout,Parking Lot,29.622534850321603,-103.142950356586
74,Basin Amphitheater Parking,Parking Lot,29.2745631388912,-103.301466904291
75,Daniels Ranch Picnic Area,Parking Lot,29.1859629256915,-102.971755755267
