,name,type,latitude,longitude
0,Vessel Fueling/Pumpout,Gas Station,58.455087116685895,-135.888686831775
1,Denali Bus Depot,Bus Stop / Shuttle Stop,63.736585124215495,-148.89740078758498
2,Machine Shop (Historic),Garage,61.4856498618108,-142.88956112053998
3,Parking Lot,Parking Lot,58.4540833360039,-135.88564791471
4,Overnight Parking,Parking Lot,58.4529884092599,-135.887528809988
5,Alaska Marine Highway Ferry Terminal,Ferry Terminal,58.389110299857705,-135.729515114625
6,Glacier Bay National Park & Preserve,Gateway Sign,58.4519766635725,-135.77639835148
7,East Entrance Parking Lot,Parking Lot,57.049780399846,-135.313992605297
8,Visitor Center Upper Parking Lot,Parking Lot,57.0492931335149,-135.319330652924
9,Visitor Center Lower Parking Lot,Parking Lot,57.0488056531837,-135.319407033976
10,White Pass & Yukon Route Train Station,Train Station,59.8450320830881,-134.995237611718
11,Overnight Parking,Parking Lot,59.5055099643988,-135.348468393722
12,Exit Glacier Parking Lot,Parking Lot,60.1889155167408,-149.629332622898
13,Bus Stop,Bus Stop / Shuttle Stop,63.7226016537144,-148.954604100452
14,Centennial Park,Gateway Sign,59.4532059608607,-135.319178389821
15,Gate,Gate,36.841234831089004,-108.005051552155
16,Hubbard Road Gate,Gate,36.8345768095652,-108.000564849107
17,West Farmers Ditch Gate,Gate,36.834784468706296,-108.005357499363
18,Maintenance Yard Gate,Gate,36.8337089929756,-107.99759444208901
19,Main Gate,Gate,36.833502419835206,-108.000663817174
20,Gate,Gate,36.8331469835937,-108.00078972326
21,Entrance Sign Gate,Gate,36.8331469825937,-108.00079508726299
22,Entrance Station,Entrance Station,35.795178251342705,-106.27579628320801
23,Shuttle Stop,Bus Stop / Shuttle Stop,35.7785767760628,-106.27064908271
24,Juniper Campground Fee Station,Entrance Station,35.7952372643828,-106.27884575328001
25,Tsankawi Fee Station,Entrance Station,35.8602151745322,-106.224035512039
26,Canyon Access Gate,Gate,35.7933897851275,-106.27588497326799
27,Shuttle Stop,Bus Stop / Shuttle Stop,35.7951984523564,-106.28137974100099
28,Shuttle Stop,Bus Stop / Shuttle Stop,35.8274955163008,-106.21079619504299
29,RGV Pump Station,Gas Station,29.182415320281102,-102.95905297263599
30,Maverick Entrance Station,Entrance Station,29.2938455339927,-103.49626942565
31,Hoseshoe Bend Floating Gas Pump,Gas Station,44.956409545968796,-108.262528692099
32,Horseshoe Bend Gas Pump,Gas Station,44.958255304223,-108.26202926975999
33,South Rim Entrance Station,Entrance Station,38.5411597731081,-107.693344458365
34,Curecanti Entrance West Hwy 50 Sign,Gateway Sign,38.4407658348952,-107.339933046239
35,Curecanti Entrance East Hwy 50 Sign,Gateway Sign,38.5162381961751,-107.019151120282
36,Shuttle Stop,Bus Stop / Shuttle Stop,37.6709803738621,-112.157036494234
37,Shuttle Stop,Bus Stop / Shuttle Stop,37.668389136101496,-112.158157173995
38,Shuttle Stop,Bus Stop / Shuttle Stop,37.6308394505883,-112.164406900242
39,Shuttle Stop,Bus Stop / Shuttle Stop,37.627465809296,-112.16756588338801
40,Shuttle Stop,Bus Stop / Shuttle Stop,37.6216815033658,-112.17232591162201
41,Shuttle Stop,Bus Stop / Shuttle Stop,37.622302869788,-112.17207034044901
42,Shuttle Stop,Bus Stop / Shuttle Stop,37.6154547971351,-112.17051239938999
43,Shuttle Stop,Bus Stop / Shuttle Stop,37.6038975182825,-112.15682796109199
44,Ballcourt Sign,Gateway Sign,32.9959852354226,-111.536599283676
45,Historic Park Sign,Gateway Sign,32.9949646857292,-111.53688472786999
46,Sonoran Desert People,Gateway Sign,32.994655074518796,-111.536955919918
47,Gate,Gate,39.108735055748895,-108.70149948235901
48,Gate,Gate,39.0907792335487,-108.69005950058599
49,Entrance Sign,Gateway Sign,31.348853893274303,-110.22551142385299
50,Entrance Station,Entrance Station,40.43671780205071,-109.308793094986
51,Chew Boundary Gateway Sign,Gateway Sign,40.4193636282594,-109.20165084518801
52,Inscription Rock,Gateway Sign,35.0414203081996,-108.350058898572
53,Entrance Sign,Gateway Sign,35.0432900864701,-108.33811362445499
54,Hans Loop,Gateway Sign,38.901092875665796,-105.300728374695
55,Sawmill/ Hans Loop,Gateway Sign,38.8996601296923,-105.30044473850201
56,Florissant Fossil Beds Entrance Sign,Gateway Sign,38.9137265092497,-105.280806714159
57,Boulder Creek/ Hornbek Wildlife Loop Junction,Gateway Sign,38.9171649115859,-105.29384797202
58,Boulder Creek,Gateway Sign,38.9115224217521,-105.305912158217
59,Pet Exercise Area,Gateway Sign,38.9132718339408,-105.285060808049
60,Florissant Fossil Beds National Monument Entrance Sign,Gateway Sign,38.9149211200614,-105.25100558090999
61,Florissant Fossil Beds National Monument Entrance Sign,Gateway Sign,38.888405553045295,-105.271000423496
62,Florissant Fossil Beds Entrance Sign,Gateway Sign,38.9381744328609,-105.28403119434999
63,Cusak Barn Road Gate,Gate,38.9096455444769,-105.259640999778
64,A-Frame Road Gate,Gate,38.9130571027949,-105.28053314097299
65,Boundary Fence Gate,Gate,38.9237087570322,-105.24676679503
66,Boundary Fence Gate,Gate,38.9234078328277,-105.250559683608
67,Boundary Fence Gate,Gate,38.9401135901785,-105.299360403765
68,Boundary Fence Gate,Gate,38.936523734739396,-105.30562167202
69,Boundary Fence Gate,Gate,38.935034384727395,-105.299804083067
70,Boundary Fence Gate,Gate,38.927785622802205,-105.306333183503
71,Boundary Fence Gate,Gate,38.9223330940975,-105.311634180105
72,Boundary Fence Gate,Gate,38.9112605635742,-105.307149979058
73,Boundary Fence Gate,Gate,38.911096819463,-105.251030148927
74,Boundary Fence Gate,Gate,38.8928430510604,-105.25125489508001
75,Boundary Fence Gate,Gate,38.8902833703212,-105.251413745188
