,name,type,latitude,longitude
0,Playground,Playground,40.565430667505005,-73.8726291027784
1,Lost Lake Trailhead,Trailhead,59.5207348107434,-135.358467612516
2,Kotsina River Trailhead,Trailhead,61.5127501382242,-144.077740230852
3,Crystalline Hills Trailhead,Trailhead,61.37893106930039,-143.61708680286
4,Suslota Lake Trailhead,Trailhead,62.6252979111481,-143.716397989337
5,Copper Lake Trailhead,Trailhead,62.6170094995165,-143.684169663439
6,Caribou Creek Trailhead,Trailhead,62.572101502003605,-143.49416519733998
7,Trail Creek Trailhead,Trailhead,62.5231991157768,-143.22189043434201
8,Skookum Volcano Trailhead,Trailhead,62.4521023634699,-143.089100375118
9,Reeve's Field Trailhead,Trailhead,62.410442880164204,-143.003703960095
10,Rambler Mine Trailhead,Trailhead,62.3890184296073,-142.999742578403
11,Goat Trailhead,Trailhead,61.6070467362943,-142.05326337631502
12,Chilkoot Trail Register,Trail Register,59.5124792061341,-135.345347005601
13,Coal Creek Lower Trailhead,Trailhead,65.3505436718245,-143.121478318117
14,Savage Cabin Interpretive Trailhead,Trailhead,63.7190723493164,-149.261637820067
15,Savage Alpine Trailhead,Trailhead,63.7400485045687,-149.29146138233
16,McKinley Bar Trailhead,Trailhead,63.4580672589757,-150.85018082640698
17,Tundra Loop Trailhead,Trailhead,63.430799806448796,-150.31164325049602
18,Tundra Spur Trailhead,Trailhead,63.4304343952005,-150.310467236697
19,Eielson Alpine Trailhead,Trailhead,63.431265474765205,-150.311549122432
20,Blueberry Hill Trailhead,Trailhead,63.495305316277296,-150.881450795654
21,Horseshoe Lake Trailhead,Trailhead,63.7368111723691,-148.914762674381
22,Meadow View Trailhead,Trailhead,63.7304045080161,-148.930231342892
23,Mountain Vista Trailhead,Trailhead,63.7129716821713,-149.260813025506
24,Mount Healy Trailhead,Trailhead,63.7334631910944,-148.925852998917
25,Parks Highway Multi-Use East Side Trailhead,Trailhead,63.74983416821771,-148.89905656671002
26,Parks Highway Multi-Use Trailhead,Trailhead,63.750324859551,-148.900133340441
27,Rock Creek Trailhead,Trailhead,63.7227664608264,-148.961890560403
28,Spruce Forest Trailhead,Trailhead,63.7304158390238,-148.916970446881
29,Taiga Trailhead,Trailhead,63.7304158390238,-148.916970446881
30,Exit Glacier Trailhead,Trailhead,60.18828464331221,-149.63132234424998
31,Tanalian Falls and Kontrashibuna Lake Trailhead,Trailhead,60.197115194312104,-154.31262361697398
32,Beaver Pond Trailhead,Trailhead,60.19703210325561,-154.312295717751
33,Tanalian Mountain Trailhead,Trailhead,60.190712696961896,-154.274952877379
34,Tanada Lake Trailhead,Trailhead,62.548362285874006,-143.364099598967
35,Primrose Concessions Trailhead,Trailhead,63.7276752241617,-149.359328001443
36,Indian Point Trailhead,Trailhead,58.3779694862881,-134.698502845101
37,Harding Icefield Trailhead,Trailhead,60.1839977753994,-149.637738202609
38,Coal Creek Upper Trailhead,Trailhead,65.3507717799795,-143.122943864113
39,Campground Beach Trailhead,Trailhead,58.5553725618251,-155.777808382498
40,Oxbow Overlook Trailhead,Trailhead,58.556108036324794,-155.778330938853
41,Brooks Falls Trailhead,Trailhead,58.5508653687627,-155.781927742297
42,Ukak Falls Trailhead,Trailhead,58.37598857594211,-155.382006055569
43,Ukak River Trailhead,Trailhead,58.36867554897329,-155.382675876024
44,Windy Creek Trailhead,Trailhead,58.3658102990265,-155.395698664873
45,Savonoski Loop Portgage Trailhead,Trailhead,58.6687755008771,-155.43261399595502
46,Margot Falls and Overlook Trailhead,Trailhead,58.441577985507,-155.605455871393
